"Variable 1","Variable 2","Correlation coefficient","P-value","Adjusted P (FDR)"
"CD4 EMRA","CD8 naive",0.182875264270613,0.240480324749934,0.661320893062318
"CD4 memory","CD8 naive",0.167623074599819,0.2826376832588,0.683996389148887
"CD4 naive","CD8 naive",0.298248263364542,0.0520669067255748,0.429551980485992
"CD8","CD8 naive",0.148746602234974,0.341114933772502,0.747338942041001
"CD8 EMRA","CD8 naive",0.519782543038357,0.000354010167522123,0.0109951393206871
"CD8 memory","CD8 naive",0.563726970703715,8.27208569023075e-05,0.00335973941880141
"B cell","Dendritic cell",0.1553911205074,0.319735086560414,0.718383513633612
"B immature","Dendritic cell",-0.00709755360918152,0.963971132751591,0.978801457870846
"B memory","Dendritic cell",-0.0607067351253398,0.698972827253007,0.957674140808431
"B naive","Dendritic cell",-0.025369978858351,0.871710834355084,0.971564494971714
"B1","Dendritic cell",0.0484747810329206,0.757561000740815,0.957674140808431
"CD39iTreg","Dendritic cell",0.249169435215947,0.107115374855837,0.533555829470583
"CD39nTreg","Dendritic cell",-0.0309574146783449,0.843775412036472,0.971564494971714
"CD39Treg","Dendritic cell",-0.0344306855934763,0.826502820554223,0.971564494971714
"CD4","Dendritic cell",0.232860163092721,0.132912669569506,0.56657920564508
"CD4 EMRA","Dendritic cell",0.0640289942615524,0.683337556693173,0.957674140808431
"CD4 memory","Dendritic cell",0.230141951072184,0.137627821756121,0.56657920564508
"CD4 naive","Dendritic cell",0.198580489278164,0.201755598105751,0.612223883907107
"CD8","Dendritic cell",-0.0937783147085473,0.549742885293519,0.91205723638526
"CD8 EMRA","Dendritic cell",0.252944729688916,0.101728896859396,0.526596642566286
"CD8 memory","Dendritic cell",0.126396858954998,0.419284616508889,0.813656372347877
"CD8 naive","Dendritic cell",0.137571730594986,0.379006282794764,0.797272180540381
"B cell","Gamma delta T",0.116581093325279,0.456579642281555,0.84291626267364
"B immature","Gamma delta T",0.107218363032317,0.493762443065959,0.871928327554604
"B memory","Gamma delta T",0.06553911205074,0.676273150042161,0.957674140808431
"B naive","Gamma delta T",0.0558743581999396,0.721934656360843,0.957674140808431
"B1","Gamma delta T",-0.0214436726064633,0.891435811124095,0.971564494971714
"CD39iTreg","Gamma delta T",-0.0573844759891272,0.714732019100636,0.957674140808431
"CD39nTreg","Gamma delta T",0.23301117487164,0.13265429310026,0.56657920564508
"CD39Treg","Gamma delta T",0.119752340682573,0.444338407395923,0.831952762783856
"CD4","Gamma delta T",0.20265780730897,0.192462381227569,0.604881769572358
"CD4 EMRA","Gamma delta T",0.172455451525219,0.268789993812486,0.674744194718821
"CD4 memory","Gamma delta T",-0.0540622168529145,0.730609206724565,0.957674140808431
"CD4 naive","Gamma delta T",0.0573844759891272,0.714732019100636,0.957674140808431
"CD8","Gamma delta T",0.0824524312896406,0.599137632883363,0.924984415679578
"CD8 EMRA","Gamma delta T",0.236484445786771,0.126814483384801,0.56657920564508
"CD8 memory","Gamma delta T",0.238598610691634,0.123355419717942,0.5663622748789
"CD8 naive","Gamma delta T",0.440652370884929,0.00310269433483246,0.0712270699474581
"Dendritic cell","Gamma delta T",-0.107218363032317,0.493762443065959,0.871928327554604
"B cell","iNKT",0.257928118393235,0.094939666828648,0.502631652948592
"B immature","iNKT",0.265327695560254,0.0855101326630265,0.484407063373335
"B memory","iNKT",0.348082150407732,0.0221773051256258,0.25082057194244
"B naive","iNKT",0.282090003020236,0.0668474806881774,0.442651711988256
"B1","iNKT",-0.519782543038357,0.000354010167522123,0.0109951393206871
"CD39iTreg","iNKT",0.040169133192389,0.798145457711148,0.958666316919375
"CD39nTreg","iNKT",0.172153427967381,0.269642092965286,0.674744194718821
"CD39Treg","iNKT",0.160676532769556,0.303345357820828,0.699416370870731
"CD4","iNKT",-0.0104198127453941,0.947126554134681,0.978801457870846
"CD4 EMRA","iNKT",0.107671398369073,0.491928098866349,0.871928327554604
"CD4 memory","iNKT",-0.118544246451223,0.448980330655902,0.836889178347592
"CD4 naive","iNKT",0.0598006644518272,0.703258745662273,0.957674140808431
"CD8","iNKT",0.0347327091513138,0.82500454706308,0.971564494971714
"CD8 EMRA","iNKT",-0.0507399577167019,0.74659832519324,0.957674140808431
"CD8 memory","iNKT",0.247508305647841,0.109553213860931,0.540599036622163
"CD8 naive","iNKT",0.188915735427363,0.225030206023082,0.656441705967885
"Dendritic cell","iNKT",-0.179250981576563,0.250087984112568,0.667935047961119
"Gamma delta T","iNKT",0.194805194805195,0.210637265431889,0.628341673152754
"B cell","iTreg",0.0564784053156146,0.719050711813795,0.957674140808431
"B immature","iTreg",0.040169133192389,0.798145457711148,0.958666316919375
"B memory","iTreg",0.165961945031712,0.287503438973736,0.683996389148887
"B naive","iTreg",0.173965569314407,0.26455622075565,0.674744194718821
"B1","iTreg",-0.0712775596496527,0.649682126773511,0.955521345226779
"CD39iTreg","iTreg",0.574599818785865,5.58851125207482e-05,0.00245894495091292
"CD39nTreg","iTreg",0.356236786469345,0.0190441040791987,0.245250901312607
"CD39Treg","iTreg",0.387798248263365,0.0101859023695803,0.168067389098075
"CD4","iTreg",0.126547870733917,0.418724678235134,0.813656372347877
"CD4 EMRA","iTreg",0.219571126547871,0.157148106415585,0.579347164177605
"CD4 memory","iTreg",-0.0726366656599215,0.643445169073173,0.954323172108527
"CD4 naive","iTreg",0.00256720024161885,0.986964573178988,0.992331887052143
"CD8","iTreg",0.0703714889761401,0.653853304014502,0.956328378170796
"CD8 EMRA","iTreg",0.141196013289037,0.36645307124087,0.7833490753651
"CD8 memory","iTreg",-0.0993657505285412,0.52610923829372,0.892831982573524
"CD8 naive","iTreg",0.0681063122923588,0.664326668374619,0.957674140808431
"Dendritic cell","iTreg",-0.0490788281485956,0.754632926703974,0.957674140808431
"Gamma delta T","iTreg",0.159166414980368,0.307972257671306,0.705142949971711
"iNKT","iTreg",0.334340078526125,0.0284299943404598,0.288673788687746
"B cell","mDC",-0.0175173663545757,0.911225690071034,0.973941628254061
"B immature","mDC",-0.0114768951978254,0.941771337863557,0.978801457870846
"B memory","mDC",-0.10072485653881,0.520437118521379,0.891439934798777
"B naive","mDC",-0.210661431591664,0.175109717430141,0.588355231800435
"B1","mDC",0.130323165206886,0.404864514879062,0.812807847361768
"CD39iTreg","mDC",0.220024161884627,0.15627217570144,0.579347164177605
"CD39nTreg","mDC",0.0607067351253398,0.698972827253007,0.957674140808431
"CD39Treg","mDC",0.0638779824826336,0.684045480191071,0.957674140808431
"CD4","mDC",0.184234370280882,0.236942891106188,0.661320893062318
"CD4 EMRA","mDC",-0.0738447598912715,0.637921422161899,0.95417141898437
"CD4 memory","mDC",0.152672908486862,0.328377135333515,0.728500535529815
"CD4 naive","mDC",0.174871639987919,0.262037318730666,0.674744194718821
"CD8","mDC",0.281183932346723,0.0677657563644711,0.442651711988256
"CD8 EMRA","mDC",0.295077016007249,0.0547383908332535,0.438291077150005
"CD8 memory","mDC",-0.257173059498641,0.0959452456532988,0.502631652948592
"CD8 naive","mDC",0.182875264270613,0.240480324749934,0.661320893062318
"Dendritic cell","mDC",0.210208396254908,0.176060845879676,0.588355231800435
"Gamma delta T","mDC",0.0247659317426759,0.874740754814354,0.971564494971714
"iNKT","mDC",-0.127755964965267,0.41426045109197,0.813656372347877
"iTreg","mDC",0.10314104500151,0.510428847720114,0.882889436143436
"B cell","Monocyte",0.052552099063727,0.737863481631184,0.957674140808431
"B immature","Monocyte",-0.0539112050739958,0.731333602960106,0.957674140808431
"B memory","Monocyte",-0.0930232558139535,0.552974813534953,0.912408442332672
"B naive","Monocyte",-0.103594080338266,0.50856314714726,0.882889436143436
"B1","Monocyte",-0.128813047417699,0.410376589278547,0.813656372347877
"CD39iTreg","Monocyte",0.0922681969193597,0.556215684557154,0.914185309544062
"CD39nTreg","Monocyte",0.167623074599819,0.2826376832588,0.683996389148887
"CD39Treg","Monocyte",0.125943823618242,0.420966973023538,0.813656372347877
"CD4","Monocyte",0.00890969495620658,0.95478079728141,0.978801457870846
"CD4 EMRA","Monocyte",0.0179704016913319,0.908939305474272,0.973468465092121
"CD4 memory","Monocyte",-0.0152521896707943,0.922667870185174,0.978801457870846
"CD4 naive","Monocyte",-0.0451525218967079,0.773724324790981,0.957674140808431
"CD8","Monocyte",-0.0305043793415886,0.846033882918561,0.971564494971714
"CD8 EMRA","Monocyte",0.174871639987919,0.262037318730666,0.674744194718821
"CD8 memory","Monocyte",0.00875868317728783,0.955546453777696,0.978801457870846
"CD8 naive","Monocyte",0.0450015101177892,0.774461328143098,0.957674140808431
"Dendritic cell","Monocyte",0.218816067653277,0.158615944240517,0.579347164177605
"Gamma delta T","Monocyte",0.114164904862579,0.466027406093711,0.851427233278476
"iNKT","Monocyte",-0.0498338870431894,0.750977608070619,0.957674140808431
"iTreg","Monocyte",-0.0795832074901842,0.611951287508499,0.939274069199092
"mDC","Monocyte",-0.0317124735729387,0.840014049522703,0.971564494971714
"B cell","Monocyte Classical",0.243581999395953,0.115483046157046,0.555927380049452
"B immature","Monocyte Classical",-0.0582905466626397,0.710422103732914,0.957674140808431
"B memory","Monocyte Classical",0.221534279673815,0.153378161217017,0.579347164177605
"B naive","Monocyte Classical",0.232256115977046,0.133949927468867,0.56657920564508
"B1","Monocyte Classical",0.173210510419813,0.26666754165038,0.674744194718821
"CD39iTreg","Monocyte Classical",0.169737239504681,0.276523088497074,0.683996389148887
"CD39nTreg","Monocyte Classical",0.17109634551495,0.272638479823728,0.679024138428906
"CD39Treg","Monocyte Classical",0.186650558743582,0.230741914763451,0.658549897270823
"CD4","Monocyte Classical",0.00181214134702507,0.990798324476279,0.992331887052143
"CD4 EMRA","Monocyte Classical",0.0767139836907279,0.624880292852496,0.941513870606069
"CD4 memory","Monocyte Classical",0.282392026578073,0.0665435902858347,0.442651711988256
"CD4 naive","Monocyte Classical",0.194050135910601,0.212445775265837,0.630176232249223
"CD8","Monocyte Classical",0.0108728480821504,0.944831166114654,0.978801457870846
"CD8 EMRA","Monocyte Classical",-0.250226517668378,0.105585706433347,0.530945266636257
"CD8 memory","Monocyte Classical",0.0348837209302326,0.82425564009105,0.971564494971714
"CD8 naive","Monocyte Classical",-0.142555119299305,0.361810767354396,0.7833490753651
"Dendritic cell","Monocyte Classical",0.172908486861975,0.267515186373353,0.674744194718821
"Gamma delta T","Monocyte Classical",0.0181214134702507,0.908177337729838,0.973468465092121
"iNKT","Monocyte Classical",0.158713379643612,0.309369047718881,0.705142949971711
"iTreg","Monocyte Classical",-0.0240108728480821,0.878530638593995,0.971564494971714
"mDC","Monocyte Classical",-0.135155542132286,0.387514812158222,0.800353724046633
"Monocyte","Monocyte Classical",0.484143763213531,0.00100360517288767,0.0264951765642344
"B cell","Monocyte Inflammatory",-0.00203873598514311,0.989647782914644,0.992331887052143
"B immature","Monocyte Inflammatory",0.026126024105908,0.867921043762751,0.971564494971714
"B memory","Monocyte Inflammatory",0.0635028505001984,0.685805206248456,0.957674140808431
"B naive","Monocyte Inflammatory",0.0316381621398135,0.840384080919809,0.971564494971714
"B1","Monocyte Inflammatory",0.162268282669354,0.298516761486575,0.697419690552707
"CD39iTreg","Monocyte Inflammatory",-0.00717333031809613,0.963586728079575,0.978801457870846
"CD39nTreg","Monocyte Inflammatory",-0.125344508716206,0.423198392182602,0.813656372347877
"CD39Treg","Monocyte Inflammatory",-0.135991241083065,0.384559326620234,0.800353724046633
"CD4","Monocyte Inflammatory",-0.0357156341100997,0.820132743416021,0.971564494971714
"CD4 EMRA","Monocyte Inflammatory",0.0880431910621062,0.574512982349184,0.915694555658828
"CD4 memory","Monocyte Inflammatory",0.0859289463367726,0.583770915574823,0.915694555658828
"CD4 naive","Monocyte Inflammatory",-0.00883452260228682,0.955161929465367,0.978801457870846
"CD8","Monocyte Inflammatory",0.246158493020983,0.111565081402116,0.545429286854791
"CD8 EMRA","Monocyte Inflammatory",0.133952505097921,0.391792736304581,0.800947662087303
"CD8 memory","Monocyte Inflammatory",0.00823045268076293,0.958224982345603,0.978801457870846
"CD8 naive","Monocyte Inflammatory",0.0598784309710551,0.70289053384865,0.957674140808431
"Dendritic cell","Monocyte Inflammatory",0.0311851096986706,0.842640772945707,0.971564494971714
"Gamma delta T","Monocyte Inflammatory",-0.0764903538129619,0.625892743527898,0.941513870606069
"iNKT","Monocyte Inflammatory",0.0243138143413364,0.877009750856632,0.971564494971714
"iTreg","Monocyte Inflammatory",-0.327934458647279,0.0318089137603601,0.311020490101299
"mDC","Monocyte Inflammatory",0.112205987923062,0.473763205080628,0.853743932705023
"Monocyte","Monocyte Inflammatory",-0.0521010307314351,0.740034715056894,0.957674140808431
"Monocyte Classical","Monocyte Inflammatory",0.132291312813731,0.39774496081338,0.807085712308942
"B cell","Monocyte Patrolling",0.207037148897614,0.182822743337871,0.599567754549042
"B immature","Monocyte Patrolling",0.0717305949864089,0.647600486221975,0.955120270182131
"B memory","Monocyte Patrolling",0.316067653276956,0.0389434772634898,0.35451993095039
"B naive","Monocyte Patrolling",0.094533373603141,0.546519948720318,0.91205723638526
"B1","Monocyte Patrolling",-0.0410752038659015,0.793690338634216,0.958666316919375
"CD39iTreg","Monocyte Patrolling",0.135004530353368,0.388050290446852,0.800353724046633
"CD39nTreg","Monocyte Patrolling",0.0652370884929024,0.67768386173171,0.957674140808431
"CD39Treg","Monocyte Patrolling",0.12382965871338,0.428868233013786,0.819156578913454
"CD4","Monocyte Patrolling",-0.0486257928118393,0.756828666347664,0.957674140808431
"CD4 EMRA","Monocyte Patrolling",-0.0824524312896406,0.599137632883363,0.924984415679578
"CD4 memory","Monocyte Patrolling",0.341588643914225,0.0249710040808693,0.258523336366647
"CD4 naive","Monocyte Patrolling",0.280428873452129,0.068538592257626,0.442651711988256
"CD8","Monocyte Patrolling",0.0208396254907883,0.894476476035031,0.971564494971714
"CD8 EMRA","Monocyte Patrolling",-0.087737843551797,0.575845907036336,0.915694555658828
"CD8 memory","Monocyte Patrolling",0.26940501359106,0.0806352047380079,0.473059867796313
"CD8 naive","Monocyte Patrolling",0.0490788281485956,0.754632926703974,0.957674140808431
"Dendritic cell","Monocyte Patrolling",0.0779220779220779,0.619422646543593,0.941513870606069
"Gamma delta T","Monocyte Patrolling",-0.112654787073392,0.471984910093262,0.853452166196036
"iNKT","Monocyte Patrolling",0.0496828752642706,0.751708244285172,0.957674140808431
"iTreg","Monocyte Patrolling",0.00951374207188161,0.951718579871627,0.978801457870846
"mDC","Monocyte Patrolling",0.0495318634853519,0.752439094848176,0.957674140808431
"Monocyte","Monocyte Patrolling",0.180610087586832,0.246455314829576,0.66732516015393
"Monocyte Classical","Monocyte Patrolling",0.388855330715796,0.00996432987303364,0.168067389098075
"Monocyte Inflammatory","Monocyte Patrolling",0.179106731731832,0.25047564298542,0.667935047961119
"B cell","NK cell",0.187103594080338,0.229591712531691,0.658549897270823
"B immature","NK cell",-0.0785261250377529,0.616701354099264,0.941513870606069
"B memory","NK cell",-0.109936575052854,0.482809451373178,0.864147085847586
"B naive","NK cell",-0.0471156750226518,0.764161370468268,0.957674140808431
"B1","NK cell",0.0459075807913017,0.770042265575615,0.957674140808431
"CD39iTreg","NK cell",-0.104953186348535,0.502986773634474,0.879394094301333
"CD39nTreg","NK cell",-0.0708245243128964,0.651766403911051,0.955924059069542
"CD39Treg","NK cell",-0.0934762911507098,0.551034580316095,0.91205723638526
"CD4","NK cell",-0.215795832074902,0.164587262550456,0.579347164177605
"CD4 EMRA","NK cell",-0.131531259438236,0.400485713304816,0.807085712308942
"CD4 memory","NK cell",0.106010268800966,0.498671207073055,0.877661324448576
"CD4 naive","NK cell",0.125188764723648,0.423779360597853,0.813656372347877
"CD8","NK cell",-0.216248867411658,0.163681324549144,0.579347164177605
"CD8 EMRA","NK cell",0.0433403805496829,0.782581150804838,0.958666316919375
"CD8 memory","NK cell",0.087133796436122,0.578486869722135,0.915694555658828
"CD8 naive","NK cell",0.184385382059801,0.236552040521888,0.661320893062318
"Dendritic cell","NK cell",-0.047568710359408,0.761959387742729,0.957674140808431
"Gamma delta T","NK cell",-0.019782543038357,0.899801208411303,0.971564494971714
"iNKT","NK cell",-0.0507399577167019,0.74659832519324,0.957674140808431
"iTreg","NK cell",0.0185744488070069,0.905891925236159,0.973468465092121
"mDC","NK cell",0.15418302627605,0.323558151648708,0.723892813858127
"Monocyte","NK cell",0.112956810631229,0.470790186732551,0.853452166196036
"Monocyte Classical","NK cell",0.0350347327091513,0.82350688715076,0.971564494971714
"Monocyte Inflammatory","NK cell",-0.0299769698556228,0.848664657682982,0.971564494971714
"Monocyte Patrolling","NK cell",0.397614013893084,0.00828215839572177,0.156177844033611
"B cell","NKT",0.118242222893386,0.450144936838478,0.836889178347592
"B immature","NKT",0.162790697674419,0.29694284009251,0.696825864750425
"B memory","NKT",0.27302929628511,0.076486864691335,0.466968939774534
"B naive","NKT",0.222893385684083,0.150807272950932,0.577484466689981
"B1","NKT",-0.200392630625189,0.197587137091216,0.606546560373034
"CD39iTreg","NKT",-0.0665961945031713,0.671344296709236,0.957674140808431
"CD39nTreg","NKT",0.294019933554817,0.0556529510089168,0.438291077150005
"CD39Treg","NKT",0.23421926910299,0.130600746017748,0.56657920564508
"CD4","NKT",0.0668982180610088,0.669938538169243,0.957674140808431
"CD4 EMRA","NKT",0.0212926608275445,0.892195834980081,0.971564494971714
"CD4 memory","NKT",-0.0893989731199034,0.5686116752829,0.915694555658828
"CD4 naive","NKT",0.120054364240411,0.443182061730804,0.831952762783856
"CD8","NKT",0.18816067653277,0.226923198794876,0.658326642657663
"CD8 EMRA","NKT",0.0250679553005134,0.873225570780402,0.971564494971714
"CD8 memory","NKT",0.293868921775899,0.0557845970851478,0.438291077150005
"CD8 naive","NKT",0.233615221987315,0.13162453106149,0.56657920564508
"Dendritic cell","NKT",-0.141800060404712,0.364385426763288,0.7833490753651
"Gamma delta T","NKT",0.323920265780731,0.0340905215383476,0.321424917361563
"iNKT","NKT",0.589549984898822,3.18443539488733e-05,0.00152852898954592
"iTreg","NKT",0.230745998187859,0.136569431298932,0.56657920564508
"mDC","NKT",-0.0199335548172757,0.899040260932453,0.971564494971714
"Monocyte","NKT",-0.0404711567502265,0.796659707103404,0.958666316919375
"Monocyte Classical","NKT",0.160827544548475,0.302885127672621,0.699416370870731
"Monocyte Inflammatory","NKT",-0.117340582256015,0.45363145798194,0.840411964261279
"Monocyte Patrolling","NKT",0.0190274841437632,0.903607262905321,0.973468465092121
"NK cell","NKT",-0.0773180308064029,0.62214896955375,0.941513870606069
"B cell","nTreg",0.195711265478707,0.208481244072793,0.628341673152754
"B immature","nTreg",0.217305949864089,0.161581551482414,0.579347164177605
"B memory","nTreg",0.167774086378738,0.282198023215904,0.683996389148887
"B naive","nTreg",0.0685593476291151,0.66222685971249,0.957674140808431
"B1","nTreg",-0.012987012987013,0.93412548134149,0.978801457870846
"CD39iTreg","nTreg",-0.0727876774388402,0.64275365440729,0.954323172108527
"CD39nTreg","nTreg",0.6650558743582,1.14634805181701e-06,6.72524190399315e-05
"CD39Treg","nTreg",0.665961945031712,1.09523400437794e-06,6.72524190399315e-05
"CD4","nTreg",0.142102083962549,0.363354242835276,0.7833490753651
