"Variable 1","Variable 2","Correlation coefficient","P-value","Adjusted P (FDR)"
"B cell","B immature",0.350347327091513,0.0212665123413402,0.25082057194244
"B cell","B memory",0.190425853216551,0.221276871548118,0.649078823207813
"B immature","B memory",0.165961945031712,0.287503438973736,0.683996389148887
"B cell","B naive",-0.026578073089701,0.865656469974484,0.971564494971714
"B immature","B naive",0.110842645726367,0.479186913206407,0.86058057881967
"B memory","B naive",0.76940501359106,1.65543356800413e-09,1.45678153984363e-07
"B cell","B1",-0.138628813047418,0.375318888885456,0.792673493326082
"B immature","B1",-0.272576260948354,0.0769960505691181,0.466968939774534
"B memory","B1",-0.200694654183026,0.196898337515876,0.606546560373034
"B naive","B1",-0.0208396254907883,0.894476476035031,0.971564494971714
"B cell","CD39iTreg",0.105255209906373,0.501751818910607,0.879394094301333
"B immature","CD39iTreg",0.0815463606161281,0.603171396690579,0.928497077121358
"B memory","CD39iTreg",-0.0122319540924192,0.937947720995056,0.978801457870846
"B naive","CD39iTreg",-0.0678042887345213,0.665727952828226,0.957674140808431
"B1","CD39iTreg",-0.019782543038357,0.899801208411303,0.971564494971714
"B cell","CD39nTreg",0.260193295077016,0.0919716664982131,0.502631652948592
"B immature","CD39nTreg",0.341588643914225,0.0249710040808693,0.258523336366647
"B memory","CD39nTreg",0.204922983992751,0.187432415175883,0.603169571695998
"B naive","CD39nTreg",0.115524010872848,0.460700227130413,0.845699271720649
"B1","CD39nTreg",0.00649350649350649,0.967035660682259,0.980028462265322
"CD39iTreg","CD39nTreg",0.271066143159166,0.0787125674998741,0.466968939774534
"B cell","CD39Treg",0.238598610691634,0.123355419717942,0.5663622748789
"B immature","CD39Treg",0.397765025672002,0.00825544666289391,0.156177844033611
"B memory","CD39Treg",0.282996073693748,0.0659390961922284,0.442651711988256
"B naive","CD39Treg",0.135608577469043,0.385910981845808,0.800353724046633
"B1","CD39Treg",0.00981576562971912,0.950187725814585,0.978801457870846
"CD39iTreg","CD39Treg",0.353065539112051,0.0202151621936102,0.25082057194244
"CD39nTreg","CD39Treg",0.922077922077922,0,0
"B cell","CD4",0.168982180610088,0.2786968245044,0.683996389148887
"B immature","CD4",0.0664451827242525,0.672047591767659,0.957674140808431
"B memory","CD4",-0.150558743581999,0.33519857628907,0.737436867835954
"B naive","CD4",-0.206433101781939,0.184131453843916,0.600132145861652
"B1","CD4",0.059347629115071,0.705405124457839,0.957674140808431
"CD39iTreg","CD4",0.0460585925702205,0.769306449482636,0.957674140808431
"CD39nTreg","CD4",0.133645424343099,0.392889099395097,0.800947662087303
"CD39Treg","CD4",0.00151011778918756,0.992331887052143,0.992331887052143
"B cell","CD4 EMRA",0.224101479915433,0.148548710321718,0.577484466689981
"B immature","CD4 EMRA",0.129568106312292,0.407615204586773,0.813656372347877
"B memory","CD4 EMRA",0.0279371790999698,0.85885438974511,0.971564494971714
"B naive","CD4 EMRA",-0.0300513440048324,0.848293572494398,0.971564494971714
"B1","CD4 EMRA",0.127151917849592,0.416489166668679,0.813656372347877
"CD39iTreg","CD4 EMRA",0.140138930836605,0.370088358955394,0.787930054550194
"CD39nTreg","CD4 EMRA",0.455904560555723,0.00212348809684793,0.053390557863605
"CD39Treg","CD4 EMRA",0.411809121111447,0.00607405821213947,0.12335010523114
"CD4","CD4 EMRA",0.278616732105104,0.0704218632708589,0.442651711988256
"B cell","CD4 memory",0.179704016913319,0.248873115654948,0.667935047961119
"B immature","CD4 memory",-0.259438236182422,0.092952916390086,0.502631652948592
"B memory","CD4 memory",0.157656297191181,0.312643872012821,0.705452839413544
"B naive","CD4 memory",0.0324675324675325,0.836256201432265,0.971564494971714
"B1","CD4 memory",0.210208396254908,0.176060845879676,0.588355231800435
"CD39iTreg","CD4 memory",0.0400181214134702,0.798888597432812,0.958666316919375
"CD39nTreg","CD4 memory",-0.227725762609484,0.14192231835016,0.56768927340064
"CD39Treg","CD4 memory",-0.203563877982483,0.19043905487561,0.603169571695998
"CD4","CD4 memory",0.298399275143461,0.0519423605026699,0.429551980485992
"CD4 EMRA","CD4 memory",0.0246149199637572,0.875498513037976,0.971564494971714
"B cell","CD4 naive",0.282392026578073,0.0665435902858347,0.442651711988256
"B immature","CD4 naive",-0.281787979462398,0.0671524701104889,0.442651711988256
"B memory","CD4 naive",0.0952884324977348,0.543306052188182,0.910684430334476
"B naive","CD4 naive",-0.0246149199637572,0.875498513037976,0.971564494971714
"B1","CD4 naive",0.100422832980973,0.521694961842466,0.891439934798777
"CD39iTreg","CD4 naive",0.0540622168529145,0.730609206724565,0.957674140808431
"CD39nTreg","CD4 naive",-0.180912111144669,0.245652915225062,0.66732516015393
"CD39Treg","CD4 naive",-0.242977952280278,0.116416486392918,0.555927380049452
"CD4","CD4 naive",0.351404409543944,0.020852332347046,0.25082057194244
"CD4 EMRA","CD4 naive",0.0126849894291755,0.93565420652723,0.978801457870846
"CD4 memory","CD4 naive",0.866656599214739,5.90638649100583e-14,6.23714413450216e-12
"B cell","CD8",-0.0690123829658713,0.660129605073024,0.957674140808431
"B immature","CD8",-0.0238598610691634,0.879288939849324,0.971564494971714
"B memory","CD8",-0.134551495016611,0.389659327745106,0.800545233655315
"B naive","CD8",-0.192237994563576,0.216830178104975,0.63958845832082
"B1","CD8",0.21111446692842,0.174162286318021,0.588355231800435
"CD39iTreg","CD8",0.123074599818786,0.431710100865679,0.819156578913454
"CD39nTreg","CD8",0.0400181214134702,0.798888597432812,0.958666316919375
"CD39Treg","CD8",0.0211416490486258,0.892955954193984,0.971564494971714
"CD4","CD8",0.502567200241619,0.000593972779765028,0.0165061909324176
"CD4 EMRA","CD8",0.147689519782543,0.344595680810069,0.751845121767423
"CD4 memory","CD8",0.158109332527937,0.311237693739606,0.705294001263999
"CD4 naive","CD8",0.208094231350045,0.180548498437643,0.599498523520409
"B cell","CD8 EMRA",0.0940803382663848,0.548452628943624,0.91205723638526
"B immature","CD8 EMRA",0.212020537601933,0.172278493141475,0.588355231800435
"B memory","CD8 EMRA",-0.265931742675929,0.0847737904467769,0.484407063373335
"B naive","CD8 EMRA",-0.293113862881305,0.0564465781178036,0.438291077150005
"B1","CD8 EMRA",-0.0081546360616128,0.958609467966923,0.978801457870846
"CD39iTreg","CD8 EMRA",0.215795832074902,0.164587262550456,0.579347164177605
"CD39nTreg","CD8 EMRA",0.250528541226216,0.105151737847551,0.530945266636257
"CD39Treg","CD8 EMRA",0.199486559951676,0.199663717112926,0.609378281130781
"CD4","CD8 EMRA",0.216248867411658,0.163681324549144,0.579347164177605
"CD4 EMRA","CD8 EMRA",0.395348837209302,0.00869185723961508,0.158251745604026
"CD4 memory","CD8 EMRA",-0.0601026880096648,0.701829089295501,0.957674140808431
"CD4 naive","CD8 EMRA",-0.0516460283902144,0.742226907484828,0.957674140808431
"CD8","CD8 EMRA",0.217305949864089,0.161581551482414,0.579347164177605
"B cell","CD8 memory",0.342645726366657,0.0244971915284746,0.258523336366647
"B immature","CD8 memory",0.087737843551797,0.575845907036336,0.915694555658828
"B memory","CD8 memory",0.280428873452129,0.068538592257626,0.442651711988256
"B naive","CD8 memory",0.0906070673512534,0.563376835195169,0.915694555658828
"B1","CD8 memory",-0.229688915735427,0.138425601379196,0.56657920564508
"CD39iTreg","CD8 memory",-0.181365146481426,0.244452626427556,0.66732516015393
"CD39nTreg","CD8 memory",0.053760193295077,0.732058229904285,0.957674140808431
"CD39Treg","CD8 memory",0.0560253699788584,0.721213311569688,0.957674140808431
"CD4","CD8 memory",0.291905768649955,0.0575188278336853,0.440144073857766
"CD4 EMRA","CD8 memory",0.165810933252794,0.287948462406534,0.683996389148887
"CD4 memory","CD8 memory",0.313953488372093,0.0403423862430103,0.361030168412025
"CD4 naive","CD8 memory",0.371790999697976,0.0140936856735321,0.206707389878471
"CD8","CD8 memory",0.0477197221383268,0.76122580472396,0.957674140808431
"CD8 EMRA","CD8 memory",0.0563273935366959,0.719771338728252,0.957674140808431
"B cell","CD8 naive",0.213228631833283,0.169789658672849,0.588355231800435
"B immature","CD8 naive",0.177740863787375,0.254166315844946,0.672082185778811
"B memory","CD8 naive",-0.0419812745394141,0.789241692211588,0.958666316919375
"B naive","CD8 naive",-0.0887949260042283,0.571237461472945,0.915694555658828
"B1","CD8 naive",-0.173361522198731,0.266244387195006,0.674744194718821
"CD39iTreg","CD8 naive",-0.0288432497734823,0.854325236330369,0.971564494971714
"CD39nTreg","CD8 naive",-0.00890969495620658,0.95478079728141,0.978801457870846
"CD39Treg","CD8 naive",-0.127906976744186,0.413704335545884,0.813656372347877
"CD4","CD8 naive",0.349139232860163,0.0217482851134925,0.25082057194244
