"Variable 1","Variable 2","Correlation coefficient","P-value","Adjusted P (FDR)"
"Monocyte Inflammatory","nTreg",-0.267396641322737,0.0830085649594521,0.393545882242988
"Monocyte Patrolling","nTreg",-0.156146179401993,0.31736018054455,0.719168134452885
"NK cell","nTreg",-0.0518745045108636,0.741125861063945,0.914286108976081
"NKT","nTreg",0.291603745092117,0.0577894217039949,0.335305655601201
"B cell","pDC",-0.205527031108426,0.186107019667657,0.584907776098349
"B immature","pDC",-0.143617623842304,0.358206403588582,0.735362323899889
"B memory","pDC",-0.135608577469043,0.385910981845808,0.75015824731457
"B naive","pDC",0.09951676230746,0.525477504034852,0.813642586892675
"B1","pDC",0.267894895801873,0.0824147402717537,0.393545882242988
"CD39iTreg","pDC",-0.0336756266988825,0.830251155205148,0.9447685559231
"CD39nTreg","pDC",-0.0217456961643008,0.889916052144935,0.961730846237183
"CD39Treg","pDC",0.0510419812745394,0.74514030577891,0.917095760958658
"CD4","pDC",-0.114395741388586,0.46512029947429,0.799946313102362
"CD4 EMRA","pDC",-0.0254464454441937,0.871327403711964,0.960051652069752
"CD4 memory","pDC",-0.146179401993355,0.349605870152375,0.73250753746212
"CD4 naive","pDC",0.128360012080942,0.412038544046674,0.761100659122742
"CD8","pDC",-0.0202355783751133,0.897518634733274,0.961730846237183
"CD8 EMRA","pDC",-0.0977046209604349,0.533082886468415,0.8230051580565
"CD8 memory","pDC",0.101479915433404,0.517299108301327,0.813642586892675
"CD8 naive","pDC",-0.0237088492902446,0.880047347730606,0.960051652069752
"Dendritic cell","pDC",0.00890969495620658,0.95478079728141,0.986191806097435
"Gamma delta T","pDC",0.117940199335548,0.451311189205764,0.794669909145979
"iNKT","pDC",-0.102083962549079,0.514795509694462,0.813642586892675
"iTreg","pDC",0.0607067351253398,0.698972827253007,0.887157819205739
"mDC","pDC",-0.999018352164822,0,0
"Monocyte","pDC",0.0300513440048324,0.848293572494398,0.948938572620852
"Monocyte Classical","pDC",0.191633947447901,0.218305475955031,0.619705867227186
"Monocyte Inflammatory","pDC",0.108514254047098,0.488524760317845,0.809620830742227
"Monocyte Patrolling","pDC",-0.307308970099668,0.045008181423366,0.287729792759112
"NK cell","pDC",-0.10722241107049,0.493746036929918,0.809620830742227
"NKT","pDC",0.0854726668680157,0.585777630258323,0.847371476099711
"nTreg","pDC",0.145726366656599,0.351117563547405,0.732767089142411
"B cell","Plasmablast",-0.136449445378823,0.382944517822896,0.748869279298108
"B immature","Plasmablast",0.104436473549995,0.505103159205775,0.812190643946351
"B memory","Plasmablast",0.249641320654339,0.106430450021956,0.431732197892227
"B naive","Plasmablast",-0.417126030034654,0.00538965658920887,0.0694082604659093
"B1","Plasmablast",0.120592011217477,0.44112769781392,0.787935820989521
"CD39iTreg","Plasmablast",-0.0940874426906552,0.548422295911706,0.839876224761955
"CD39nTreg","Plasmablast",0.0860832140187375,0.583093145260711,0.845846855494394
"CD39Treg","Plasmablast",0.0490070227176847,0.754980821376138,0.918447526447041
"CD4","Plasmablast",-0.0714366623125779,0.648950768913811,0.858761919765645
"CD4 EMRA","Plasmablast",0.323201812576991,0.0345127518680672,0.242969773151193
"CD4 memory","Plasmablast",0.0722645928209928,0.645150237067741,0.858651850641998
"CD4 naive","Plasmablast",-0.080344333084155,0.608540808436015,0.851880610266899
"CD8","Plasmablast",0.00294495205853576,0.985046671903814,0.996105012097969
"CD8 EMRA","Plasmablast",0.174507287366055,0.263048304535112,0.645997696718788
"CD8 memory","Plasmablast",0.143169976999584,0.359722308681319,0.735362323899889
"CD8 naive","Plasmablast",-0.178811448066992,0.251270451363936,0.639570563090019
"Dendritic cell","Plasmablast",0.111832666633114,0.475245128874914,0.802254184900917
"Gamma delta T","Plasmablast",0.0823076344565121,0.599781467609125,0.851880610266899
"iNKT","Plasmablast",0.0441742808780363,0.77850202476316,0.918447526447041
"iTreg","Plasmablast",-0.0532356718273771,0.73457691964615,0.908329305791961
"mDC","Plasmablast",-0.226363087146957,0.144387602298444,0.518616693969923
"Monocyte","Plasmablast",0.00181227818986816,0.99079762964655,0.996105012097969
"Monocyte Classical","Plasmablast",0.212565129353286,0.17115332905836,0.564805985892589
"Monocyte Inflammatory","Plasmablast",0.0443680852183541,0.777554843506442,0.918447526447041
"Monocyte Patrolling","Plasmablast",-0.191799441761047,0.217900591106218,0.619705867227186
"NK cell","Plasmablast",-0.413970172090435,0.00578729660288024,0.0727545858647802
"NKT","Plasmablast",0.23340632853677,0.131979969592927,0.497753028179039
"nTreg","Plasmablast",-0.0370761913010527,0.813400279857246,0.933642060357882
"pDC","Plasmablast",0.217020313236712,0.162146995000024,0.554498822738133
"B cell","Plasmablast IgA+",-0.0572334642102084,0.715451194967746,0.895740366315821
"B immature","Plasmablast IgA+",0.0255219541843841,0.870948804617196,0.960051652069752
"B memory","Plasmablast IgA+",0.276804590758079,0.0723457701097363,0.370859870077095
"B naive","Plasmablast IgA+",-0.451676230745998,0.00236297486189585,0.0346569646411391
"B1","Plasmablast IgA+",0.175777710661432,0.259534421898017,0.643898995688187
"CD39iTreg","Plasmablast IgA+",-0.135457565690124,0.386445157707506,0.75015824731457
"CD39nTreg","Plasmablast IgA+",0.181214134702507,0.244852281403311,0.638216468532849
"CD39Treg","Plasmablast IgA+",0.123527635155542,0.430003721123459,0.785612334786112
"CD4","Plasmablast IgA+",-0.128138332103254,0.412853172762353,0.761100659122742
"CD4 EMRA","Plasmablast IgA+",0.397402499622526,0.00831969724118986,0.0934638328371967
"CD4 memory","Plasmablast IgA+",0.139836907278768,0.371130960912661,0.735362323899889
"CD4 naive","Plasmablast IgA+",-0.149199637571731,0.339629844635462,0.73250753746212
"CD8","Plasmablast IgA+",0.0694654183026276,0.658034918356387,0.866439992249807
"CD8 EMRA","Plasmablast IgA+",0.181365146481426,0.244452626427556,0.638216468532849
"CD8 memory","Plasmablast IgA+",0.11038961038961,0.48099639414685,0.803690177561826
"CD8 naive","Plasmablast IgA+",-0.146632437330112,0.348098161076647,0.73250753746212
"Dendritic cell","Plasmablast IgA+",0.0761099365750529,0.627616585973151,0.851880610266899
"Gamma delta T","Plasmablast IgA+",0.109936575052854,0.482809451373178,0.804174732886555
"iNKT","Plasmablast IgA+",0.0676532769556025,0.666429017104007,0.870976537205237
"iTreg","Plasmablast IgA+",-0.086529749320447,0.581133300590088,0.845846855494394
"mDC","Plasmablast IgA+",-0.140980140853494,0.367193704785693,0.735362323899889
"Monocyte","Plasmablast IgA+",-0.0720326185442464,0.646214197324568,0.858651850641998
"Monocyte Classical","Plasmablast IgA+",0.169133192389006,0.278261184391121,0.670966666436851
"Monocyte Inflammatory","Plasmablast IgA+",0.00974136309817371,0.950564830563294,0.984510437697239
"Monocyte Patrolling","Plasmablast IgA+",-0.18695258230142,0.22997467605316,0.628995683924234
"NK cell","Plasmablast IgA+",-0.407596179548241,0.00666867155289497,0.0800240586347396
"NKT","Plasmablast IgA+",0.293868921775899,0.0557845970851478,0.330946823156832
"nTreg","Plasmablast IgA+",0.0570824524312896,0.716170614088257,0.895740366315821
"pDC","Plasmablast IgA+",0.13228631833283,0.397762935301135,0.755463416687049
"Plasmablast","Plasmablast IgA+",0.955448164016741,0,0
"B cell","T cell",-0.319540924192087,0.0367315504843218,0.250558888106922
"B immature","T cell",-0.175255785982117,0.2609742141615,0.643898995688187
"B memory","T cell",0.250830564784053,0.104719133494799,0.428617848722899
"B naive","T cell",-0.325430383569918,0.0332168840698617,0.23762432548065
"B1","T cell",0.343249773482332,0.0242298250096065,0.208709621173204
"CD39iTreg","T cell",-0.0303533675626699,0.846786978229868,0.948938572620852
"CD39nTreg","T cell",-0.152068861371187,0.330317211076354,0.728442490765641
"CD39Treg","T cell",-0.104198127453941,0.506080912610511,0.812190643946351
"CD4","T cell",0.258390908931842,0.0943273580558557,0.418528109693208
"CD4 EMRA","T cell",0.163702948732973,0.294207264142474,0.690406379854338
"CD4 memory","T cell",-0.220477197221383,0.155399816072014,0.539809887408047
"CD4 naive","T cell",0.180912111144669,0.245652915225062,0.638216468532849
"CD8","T cell",-0.0880398671096345,0.574527484730844,0.845846855494394
"CD8 EMRA","T cell",0.0893989731199034,0.5686116752829,0.845280352371475
"CD8 memory","T cell",0.0270311084264573,0.863388020075679,0.960051652069752
"CD8 naive","T cell",-0.0733917245545153,0.639990580232404,0.858651850641998
"Dendritic cell","T cell",0.199486559951676,0.199663717112926,0.598991151338779
"Gamma delta T","T cell",0.00241618846270009,0.987731302980568,0.996105012097969
"iNKT","T cell",-0.0502869223799456,0.748786991431019,0.918447526447041
"iTreg","T cell",-0.207943219571127,0.18087214593512,0.575304175022551
"mDC","T cell",-0.112587782545559,0.472250179707292,0.802254184900917
"Monocyte","T cell",-0.175475687103594,0.260366943352961,0.643898995688187
"Monocyte Classical","T cell",0.11280579885231,0.471387347422143,0.802254184900917
"Monocyte Inflammatory","T cell",-0.0209930150487774,0.893704197305999,0.961730846237183
"Monocyte Patrolling","T cell",-0.288281485955905,0.0608336895190404,0.343293612398478
"NK cell","T cell",-0.235738286874696,0.128052496004016,0.489939984711019
"NKT","T cell",0.0465116279069767,0.76710020358732,0.918447526447041
"nTreg","T cell",-0.190123829658713,0.222024060193667,0.622629174415651
"pDC","T cell",0.111748716399879,0.475578711882551,0.802254184900917
"Plasmablast","T cell",0.238012535602685,0.124307131618512,0.479081499960395
"Plasmablast IgA+","T cell",0.249169435215947,0.107115374855837,0.431732197892227
"B cell","Treg",0.0765629719118091,0.625563901406109,0.851880610266899
"B immature","Treg",-0.16022954668421,0.304710233558164,0.705644751397854
"B memory","Treg",-0.134400483237693,0.390196540477774,0.752276692618226
"B naive","Treg",0.104651162790698,0.504223273021581,0.812190643946351
"B1","Treg",-0.0827544548474781,0.597795665910308,0.851880610266899
"CD39iTreg","Treg",0.485804892781637,0.00095838870842968,0.0158134136890897
"CD39nTreg","Treg",0.739353669586228,1.48947973954705e-08,6.04957924985264e-07
"CD39Treg","Treg",0.809574146783449,4.94511098736439e-11,3.02295669977563e-09
"CD4","Treg",-0.36070525188995,0.017491308139634,0.167916558140486
"CD4 EMRA","Treg",0.185147430947071,0.234586392935105,0.630805441391702
"CD4 memory","Treg",-0.0498338870431894,0.750977608070619,0.918447526447041
"CD4 naive","Treg",0.0170643310178194,0.913512782638124,0.964669498465859
"CD8","Treg",0.177740863787375,0.254166315844946,0.639570563090019
"CD8 EMRA","Treg",0.128813047417699,0.410376589278547,0.761100659122742
"CD8 memory","Treg",-0.122168529145273,0.435134169736021,0.787935820989521
"CD8 naive","Treg",-0.0400181214134702,0.798888597432812,0.920989474769705
"Dendritic cell","Treg",-0.275143461189973,0.0741455258353927,0.37284607277226
"Gamma delta T","Treg",0.318785865297493,0.0372034237958778,0.250558888106922
"iNKT","Treg",0.318332829960737,0.0374889245463008,0.250558888106922
"iTreg","Treg",0.730141951072184,2.75416636164039e-08,1.0387141706758e-06
"mDC","Treg",-0.106169297289776,0.498023613496066,0.810655586653236
"Monocyte","Treg",-0.341890667472063,0.0248348560982743,0.208709621173204
"Monocyte Classical","Treg",0.0890969495620658,0.569923873947434,0.845280352371475
"Monocyte Inflammatory","Treg",-0.245346424077259,0.112788902666302,0.447763463216599
"Monocyte Patrolling","Treg",-0.160374509211719,0.304267159929559,0.705644751397854
"NK cell","Treg",-0.0325442670220993,0.835874501573194,0.947085272168769
"NKT","Treg",0.26336454243431,0.0879376589727041,0.400267964979205
"nTreg","Treg",0.963002114164905,0,0
"pDC","Treg",0.106010268800966,0.498671207073055,0.810655586653236
"Plasmablast","Treg",-0.092728234048254,0.554240047042639,0.840915933444004
"Plasmablast IgA+","Treg",-0.0184234370280882,0.906653646941363,0.963205484074526
"T cell","Treg",-0.221685291452733,0.153090932784387,0.535311341126863
